Entry id,Entry URL,SED-ML location,SED-ML URL,Output type,Output id,Output name,Revised name,Reviewed by Karr
BIOMD0000000005,https://www.ebi.ac.uk/biomodels/BIOMD0000000005,BIOMD0000000005.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000005/BIOMD0000000005.sedml,Plot2D,plot1,,Figure 3a,
BIOMD0000000042,https://www.ebi.ac.uk/biomodels/BIOMD0000000042,BIOMD0000000042.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000042/BIOMD0000000042.sedml,Plot2D,plot_1_task1,timecourse,Figure 9d,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addB.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addB.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addB.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addB.sedml,Report,report_task1,fig1,Figure 2 R1C1,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addC.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addC.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addC.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addC.sedml,Report,report_task1,fig2,Figure 2 R1C2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addOPG_addRANKL.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addOPG_addRANKL.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addOPG_addRANKL.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addOPG_addRANKL.sedml,Report,report_task1,fig9,Figure 2 R3C3,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addOPG.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addOPG.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addOPG.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addOPG.sedml,Report,report_task1,fig8,Figure 2 R3C2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addPTH.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addPTH.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addPTH.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addPTH.sedml,Report,report_task1,fig7,Figure 2 R3C1,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addR.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addR.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_addR.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_addR.sedml,Report,report_task1,fig3,Figure 2 R1C3,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeB.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeB.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeB.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeB.sedml,Report,report_task1,fig4,Figure 2 R2C1,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeC.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeC.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeC.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeC.sedml,Report,report_task1,fig5,Figure 2 R2C2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeR.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeR.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2,
BIOMD0000000278,https://www.ebi.ac.uk/biomodels/BIOMD0000000278,lemaire04_removeR.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000278/lemaire04_removeR.sedml,Report,report_task1,fig6,Figure 2 R2C3,
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_blue.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values","Figure 1b R2-4, C1 blue",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_blue.sedml,Report,report_task1,fig,"Figure 1b R2-4, C1 blue",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_green.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values","Figure 1b R2-4, C1 yellow",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_green.sedml,Report,report_task1,fig,"Figure 1b R2-4, C1 yellow",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_red.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_red.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values","Figure 1b R2-4, C1 orange",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figA_red.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figA_red.sedml,Report,report_task1,fig,"Figure 1b R2-4, C1 orange",Y
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_blue.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 1b (blue),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_blue.sedml,Report,report_task1,fig,Figure 1b (blue),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_green.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 1b (green),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_green.sedml,Report,report_task1,fig,Figure 1b (green),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_red.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_red.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 1b (red),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB1_red.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB1_red.sedml,Report,report_task1,fig,Figure 1b (red),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB2_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB2_blue.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2b (blue),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB2_blue.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB2_blue.sedml,Report,report_task1,fig,Figure 2b (blue),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB2_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB2_green.sedml,Plot2D,plot_2_task1,"Concentrations, Volumes, and Global Quantity Values",Figure 2b (green),
BIOMD0000000279,https://www.ebi.ac.uk/biomodels/BIOMD0000000279,figB2_green.sedml,https://github.com/sys-bio/temp-biomodels/blob/main/final/BIOMD0000000279/figB2_green.sedml,Report,report_task1,fig,Figure 2b (green),
