Data from Macia et al. (2009) Figure 1A												
Hog1-PP time series for the ssk2Delta/ssk22Delta mutant for different salt shock conditions												
SD: standard deviation												
All Hog1 phosphorylation data are scaled to the wild type at 10 min after 0.4M NaCl shock												
time [min]	0.07M NaCl	SD	0.1M NaCl	SD	0.2M NaCl	SD	0.4M NaCl	SD	0.6M NaCl	SD	0.8M NaCl	SD
0	1.272769033	1.417942421	3.424981936	5.235009992	1.583717223	1.937617292	4.02184462	6.966039222	3.701126211	3.531695135	0.675258351	0.612512685
1	3.829982458	1.999638325	2.718314511	0.299882355	7.297836976	3.795596375	11.48015628	10.38176459	11.77751499	9.425955927	4.161045881	5.170522216
2	3.138989833	1.148342555	6.208514825	5.376878971	29.03615525	11.68076705	47.09964152	10.12866578	35.77604824	6.16699189	11.55427582	6.370625121
5	8.502677524	4.240712946	14.47070967	4.17004754	59.93343047	6.58115623	80.62383886	5.37612432	85.68950233	5.95706447	82.0108427	10.21529854
10	4.046485242	2.616687248	11.16250813	4.142554209	42.25991319	8.15844635	74.25806017	3.03589399	84.17072013	6.53860218	94.46373937	0.74264746
20	4.120730959	1.685144417	5.987657333	5.129476953	16.39613359	6.512050182	65.29993399	9.16584584	73.29045712	2.23087721	81.5473262	0.88690496
30	3.940359929	2.35343435	6.44989247	2.316807855	6.898482901	2.523713873	39.73743683	9.38850263	72.46354108	6.17654125	76.0269208	7.29600645
40	5.331452887	1.518002441	3.966052416	4.724040181	4.498487954	1.62285161	16.09328459	5.89753768	63.85320175	6.32152749	74.60175434	2.10230185
50	6.060563871	4.727136844	8.467467109	4.1923946	6.006041218	1.192551357	6.113458354	1.473091327	52.63046623	12.32495594	74.38330314	2.20607514
60	4.148895333	2.98945103	5.234605371	1.875351693	7.65494567	5.265991496	4.096750746	0.371569805	31.90531197	11.83737301	73.87106886	3.45356809
80	1.268728154	0.219674255	2.82246935	2.160056571	3.072566772	2.267011882	6.324929596	0.101714967	10.79954062	4.699741023	56.50132474	12.87537549
100	2.187264737	1.82446882	5.663069979	2.711195819	2.040868814	0.6528939	2.607889567	0.740417379	4.280941591	1.88056732	28.90636271	5.09029848
120	1.609729316	1.112318133	6.496622123	0.697104815	6.242893034	0.664215819	3.621107906	0.243774571	4.418526901	5.120941651	18.66304868	9.158363484
