	(Synthesis).ksynth	(transport cytoplasm_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb0).ktr	(transport dnabound_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport cytoplasm_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa0_pUb1).ktr	(transport dnabound_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport cytoplasm_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb0).ktr	(transport dnabound_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport cytoplasm_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa1_pUb1).ktr	(transport dnabound_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb1 by SCF).kub	(degradation of cytoplasm_Foxo1_Pa0_pUb1).kdeg	(degradation of cytoplasm_Foxo1_Pa1_pUb1).kdeg	(transcription of inr by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb1).ktranscr	(basal transcription of inr).v	(export of inr RNA).kexp	(cyto degr of inr RNA).k1	(translation of inr).ktransl	(degradation of Inr protein).k1	(basal transcription of sod2).v	(export of sod2 RNA).kexp	(cyto degr of sod2 RNA).k1	(translation of sod2).ktransl	(degradation of Sod2 protein).k1
[Foxo1_Pa0_tot]	0.755052	0.0019047	-2.60295e-06	0.000150578	-7.79326e-05	0.000627801	-4.97717e-05	0.000337851	-0.00140171	0.00142338	-0.0025216	0.000689146	-0.00152717	0.00177746	-0.00492567	0.00202554	-0.00412194	-0.810816	-0.0797907	-0.0635113	-0.0248768	-0.00372995	-0.00552917	0	0	0	0	0	0	0.83548	0.0531248	0.0612529	0.0263569	0.00274648	0.00390308	-0.0352864	-0.00336158	-0.00205161	-1.08316	-0.0682596	-0.0779439	-0.00306269	-0.0285253	6.14781e-05	6.14782e-05	-0.000754252	-0.000754252	-0.000775848	-0.000775848	-0.000132837	-0.000132837	0.00042192	-0.000181015	0.00042192	0.000194818	0.000280394	0.00042192	-0.000181015	0.00042192	0.000194818	0.000280394
[Foxo1_Pa1_tot]	0.753982	0.00191283	-2.60974e-06	0.000151217	-7.82654e-05	0.000614338	-4.9376e-05	0.000339311	-0.00140782	0.00142951	-0.00253244	0.00069209	-0.00153376	0.00178542	-0.00494772	0.00203444	-0.00414003	0.00996408	0.000500289	0.0010045	0.000799545	-0.000456962	-0.00126906	0	0	0	0	0	0	-0.0102503	-0.000663422	-0.00091729	-0.000586864	0.000343804	-0.000296696	-0.0354384	-0.00337633	-0.00206062	-1.08791	-0.0685591	-0.0782858	-0.00260549	-0.0291267	6.17474e-05	6.17475e-05	-0.000757548	-0.000757548	-0.000779248	-0.000779248	-0.000133417	-0.000133417	0.000423763	-0.000181805	0.000423763	0.000195669	0.000281619	0.000423763	-0.000181805	0.000423763	0.000195669	0.000281619
[Foxo1_pUb0_tot]	0.754354	0.000653831	3.44853e-05	-0.000279623	9.4991e-05	-0.00136626	2.61231e-05	-0.000232882	-0.0010348	0.000250052	-0.000266004	-0.000841785	0.000239302	-0.000114638	8.87281e-05	-0.000205103	-0.000231331	-0.0654655	-0.00657477	-0.00512521	6.46807e-05	4.17588e-05	-0.00163303	0	0	0	0	0	0	0.067472	0.00407654	0.00498973	0.00018379	-2.24044e-05	6.37616e-05	-0.0362949	-0.00349314	-0.00219903	-1.11402	-0.070824	-0.0822504	0.000129187	-0.000318859	6.15934e-05	6.15935e-05	-0.000756829	-0.000756829	-0.00077857	-0.00077857	-0.000133291	-0.000133291	0.000423066	-0.000181431	0.000423066	0.00019536	0.000281122	0.000423066	-0.000181431	0.000423066	0.00019536	0.000281122
[Foxo1_pUb1_tot]	0.746305	0.0375269	-0.00105256	0.0123444	-0.00498139	0.0567111	-0.00218743	0.0165313	-0.0119498	0.0347976	-0.0666548	0.0441005	-0.0517026	0.0555453	-0.147445	0.0654008	-0.114727	-0.0503606	-0.0139963	0.0019437	-0.047077	-0.0233275	-0.00236147	0	0	0	0	0	0	0.0519125	0.00904044	-0.00182748	0.0496667	0.0171358	0.000733795	-0.0107878	-3.05532e-05	0.00188132	-0.33619	-0.00365106	0.0348448	-0.0812332	-0.842923	6.53854e-05	6.53854e-05	-0.000769077	-0.000769077	-0.000789343	-0.000789343	-0.000135443	-0.000135443	0.000438563	-0.000190282	0.000438563	0.000202154	0.000292404	0.000438563	-0.000190282	0.000438563	0.000202154	0.000292404
[cytoplasm_Foxo1_tot]	0.754614	-0.0599707	0.00182877	-0.0137581	0.00551013	-0.00135313	2.52555e-05	-0.000227839	-0.00103533	-0.0567623	0.109328	-0.0490365	0.0559101	-0.000101444	5.39014e-05	-0.000189331	-0.000258735	-0.0138786	0.0125882	-0.00453808	5.36152e-05	3.62591e-05	-0.00163142	0	0	0	0	0	0	0.0143159	-0.00876052	0.0044237	0.000195242	-1.82841e-05	6.39062e-05	-0.0354297	-0.00337563	-0.00206163	-1.08765	-0.068543	-0.0782665	-0.00261898	-0.0291077	6.15734e-05	6.15735e-05	-0.000756491	-0.000756491	-0.000778365	-0.000778365	-0.000133091	-0.000133091	0.000422662	-0.000181271	0.000422662	0.000195163	0.00028088	0.000422662	-0.000181271	0.000422662	0.000195163	0.00028088
[nucleus_Foxo1_tot]	0.752734	0.423223	-0.0124713	-0.0181548	0.00727434	0.0140231	-0.000558103	-0.000409501	-0.000926602	0.415071	-0.797653	-0.0464102	0.0528545	0.015192	-0.0404816	-7.60313e-05	-0.000461767	-0.411094	-0.093263	-0.00642018	-0.0123721	-0.0042808	-0.00176884	0	0	0	0	0	0	0.42361	0.0621474	0.00623762	0.0132369	0.00315093	0.000187444	-0.0353737	-0.00336961	-0.00205222	-1.08584	-0.0684284	-0.0781394	-0.00283938	-0.0288231	6.20961e-05	6.20961e-05	-0.000759548	-0.000759548	-0.0007809	-0.0007809	-0.000134054	-0.000134054	0.000425942	-0.000182872	0.000425942	0.000196669	0.000283083	0.000425942	-0.000182872	0.000425942	0.000196669	0.000283083
[dnabound_Foxo1_tot]	0.748276	0.439865	-0.0129633	0.198174	-0.0796362	0.0145446	-0.000577546	0.00841377	-0.00669461	0.397866	-0.764601	0.692492	-0.800642	0.0146343	-0.0390089	0.0329622	-0.0581121	-0.427765	-0.184561	-0.0080536	-0.0128932	-0.00800546	-0.00190621	0	0	0	0	0	0	0.440798	0.123304	0.00781222	0.0137885	0.00588527	0.000294882	-0.0354022	-0.00337128	-0.00204249	-1.08663	-0.0684765	-0.0782011	-0.00284706	-0.0288226	6.33476e-05	6.33477e-05	-0.000765106	-0.000765106	-0.000784691	-0.000784691	-0.000136328	-0.000136328	0.000433724	-0.00018677	0.000433724	0.000200242	0.000288313	0.000433724	-0.00018677	0.000433724	0.000200242	0.000288313
[Foxo1_all]	0.75408	0.00191209	-2.60912e-06	0.000151159	-7.8235e-05	0.000615567	-4.94121e-05	0.000339177	-0.00140726	0.00142895	-0.00253145	0.000691822	-0.00153316	0.0017847	-0.00494571	0.00203363	-0.00413838	-0.0649501	-0.00682802	-0.00488399	-0.00154398	-0.000755694	-0.00165789	0	0	0	0	0	0	0.0669411	0.00424593	0.0047571	0.00187234	0.0005631	8.66258e-05	-0.0354245	-0.00337498	-0.0020598	-1.08748	-0.0685318	-0.0782546	-0.00264722	-0.0290718	6.17228e-05	6.17229e-05	-0.000757247	-0.000757247	-0.000778938	-0.000778938	-0.000133364	-0.000133364	0.000423595	-0.000181733	0.000423595	0.000195592	0.000281507	0.000423595	-0.000181733	0.000423595	0.000195592	0.000281507
[cytoplasm_Foxo1_Pa0_pUb0]	0.756014	-0.0930041	0.00280603	-0.0141651	0.00567382	-0.00135924	2.58724e-05	-0.000231176	-0.00102749	-0.0580025	0.11171	-0.050337	0.0574167	-0.000113864	8.81545e-05	-0.000203737	-0.000229796	-0.893423	0.0120988	-0.00463934	6.42437e-05	4.14686e-05	-0.001622	0	0	0	0	0	0	0.920596	-0.00843089	0.00452117	0.000182547	-2.22185e-05	6.33307e-05	-0.0362821	-0.00344186	-0.00211731	-1.10855	-0.0698649	-0.0797659	0.000128314	-0.000316762	6.1174e-05	6.11741e-05	-0.00075207	-0.00075207	-0.000774113	-0.000774113	-0.000132391	-0.000132391	0.000420207	-0.000180166	0.000420207	0.00019404	0.000279222	0.000420207	-0.000180166	0.000420207	0.00019404	0.000279222
[cytoplasm_Foxo1_Pa0_pUb1]	0.747096	0.000546075	4.14931e-05	-0.000235021	7.37626e-05	-0.0318409	0.00117218	-0.000140874	-0.00109407	0.000302583	-0.000345295	-0.000706028	5.98092e-05	0.000614148	-0.00185245	0.000302197	-0.00114819	-0.0206533	-0.00174059	-0.0011862	-0.864916	-0.0012491	-0.00171737	0	0	0	0	0	0	0.0213	0.000830722	0.00118949	0.907909	0.000927674	0.000104304	-0.00352776	-0.000797769	-9.8221e-06	-0.271059	-0.0169203	-0.0196364	-0.104327	-0.913373	6.49348e-05	6.49349e-05	-0.000779005	-0.000779005	-0.000797106	-0.000797106	-0.00013532	-0.00013532	0.000436977	-0.000189035	0.000436977	0.000201468	0.00029123	0.000436977	-0.000189035	0.000436977	0.000201468	0.00029123
