AK_c_Keq;AK_c_KmADP;AK_c_KmAMP;AK_c_KmATP;AK_c_Vmax;AK_c_k1;AK_c_k2;AK_g_Keq;AK_g_KmADP;AK_g_KmAMP;AK_g_KmATP;AK_g_Vmax;AK_g_k1;AK_g_k2;ALD_g_Keq;ALD_g_KiADP;ALD_g_KiAMP;ALD_g_KiATP;ALD_g_KiGA3P;ALD_g_KmDHAP;ALD_g_KmFru16BP;ALD_g_KmGA3P;ALD_g_Vmax;ATPu_c_k;ENO_c_Keq;ENO_c_Km2PGA;ENO_c_KmPEP;ENO_c_Vmax;G3PDH_g_Keq;G3PDH_g_KmDHAP;G3PDH_g_KmGly3P;G3PDH_g_KmNAD;G3PDH_g_KmNADH;G3PDH_g_Vmax;G6PDH_c_Keq;G6PDH_c_Km6PGL;G6PDH_c_KmGlc6P;G6PDH_c_KmNADP;G6PDH_c_KmNADPH;G6PDH_c_Vmax;G6PDH_g_Keq;G6PDH_g_Km6PGL;G6PDH_g_KmGlc6P;G6PDH_g_KmNADP;G6PDH_g_KmNADPH;G6PDH_g_Vmax;G6PP_c_Keq;G6PP_c_KmGlc;G6PP_c_KmGlc6P;G6PP_c_Vmax;GAPDH_g_Keq;GAPDH_g_Km13BPGA;GAPDH_g_KmGA3P;GAPDH_g_KmNAD;GAPDH_g_KmNADH;GAPDH_g_KmPi;GAPDH_g_Vmax;GAPDH_g_Vrmax;GDA_g_k;GK_g_Keq;GK_g_KmADP;GK_g_KmATP;GK_g_KmGly;GK_g_KmGly3P;GK_g_Vmax;GPO_c_KmGly3P;GPO_c_Vmax;GlcT_c_KmGlc;GlcT_c_Vmax;GlcT_c_alpha;GlcT_g_k;HXK_c_Keq;HXK_c_KmADP;HXK_c_KmATP;HXK_c_KmGlc;HXK_c_KmGlc6P;HXK_c_Vmax;HXK_c_Vmaxpc;HXK_g_Keq;HXK_g_KmADP;HXK_g_KmATP;HXK_g_KmGlc;HXK_g_KmGlc6P;HXK_g_Vmax;PFK_g_Keq;PFK_g_Ki1;PFK_g_Ki2;PFK_g_KmADP;PFK_g_KmATP;PFK_g_KmFru6P;PFK_g_KsATP;PFK_g_Vmax;PGAM_c_Keq;PGAM_c_Km2PGA;PGAM_c_Km3PGA;PGAM_c_Vmax;PGI_g_Keq;PGI_g_Ki6PG;PGI_g_KmFru6P;PGI_g_KmGlc6P;PGI_g_Vmax;PGI_g_Vrmax;PGK_g_Keq;PGK_g_Km13BPGA;PGK_g_Km3PGA;PGK_g_KmADP;PGK_g_KmATP;PGK_g_Vmax;PGK_g_Vrmax;PGL_c_Keq;PGL_c_Km6PG;PGL_c_Km6PGL;PGL_c_Vmax;PGL_c_k;PGL_g_Keq;PGL_g_Km6PG;PGL_g_Km6PGL;PGL_g_Vmax;PGL_g_k;PPI_c_Keq;PPI_c_KmRib5P;PPI_c_KmRul5P;PPI_c_Vmax;PPI_g_Keq;PPI_g_KmRib5P;PPI_g_KmRul5P;PPI_g_Vmax;PYK_c_Keq;PYK_c_KiADP;PYK_c_KiATP;PYK_c_KmADP;PYK_c_KmATP;PYK_c_KmPEP;PYK_c_KmPyr;PYK_c_Vmax;PYK_c_n;PyrT_c_KmPyr;PyrT_c_Vmax;RK_g_Keq;RK_g_KmADP;RK_g_KmATP;RK_g_KmRib;RK_g_KmRib5P;RK_g_Vmax;RK_g_Vrmax;TPI_g_Keq;TPI_g_KmDHAP;TPI_g_KmGA3P;TPI_g_Vmax;TPI_g_Vrmax;TR_c_Keq;TR_c_KmNADP;TR_c_KmNADPH;TR_c_KmTS2;TR_c_KmTSH2;TR_c_Vmax;_3PGAT_g_k;_6PGDH_c_Keq;_6PGDH_c_Km6PG;_6PGDH_c_KmNADP;_6PGDH_c_KmNADPH;_6PGDH_c_KmRul5P;_6PGDH_c_Vmax;_6PGDH_g_Keq;_6PGDH_g_Km6PG;_6PGDH_g_KmNADP;_6PGDH_g_KmNADPH;_6PGDH_g_KmRul5P;_6PGDH_g_Vmax;GAPDH_g_inhib
0.484547;0.121479;2.67688;0.108774;1167.03;8016.14;16543.6;0.454969;0.271674;2.53307;0.124465;11.0836;27.664;60.8042;0.0648824;1.21754;3.10837;0.832255;0.0923287;0.016376;0.00835271;0.0634179;473.804;39.7583;4.53479;0.0480403;0.338218;601.093;15654.6;0.120817;2.2641;0.404797;0.00979696;450.783;11.1743;0.0424499;0.0577219;0.0096028;0.000109759;8.81529;8.44169;0.0485549;0.056983;0.00968263;8.98E-05;8.81529;306.437;4.97075;4.26037;5.47509;0.0533248;0.126332;0.167949;0.422566;0.0210431;2.74963;497.94;353.316;863.955;0.000821236;0.543932;0.255576;0.454451;3.4618;178.476;1.72232;380.093;1.15105;95.7452;0.830125;3.10E+06;955.804;0.127078;0.131199;0.0894234;11.7153;48.6594;0.0245457;570.902;0.133883;0.104699;0.0828996;12.3952;1933.74;965.612;14.0046;8.41467;0.464502;0.0638767;0.942307;0.0383483;1578.75;0.166884;0.18064;0.162458;231.538;0.458226;0.162819;0.134001;0.393455;1831.85;1375.27;3411.75;0.00205868;1.60183;0.0553531;0.288474;2878.33;1393.84;16393.1;0.040817;0.0561817;30.6303;0.0485632;14591.3;0.0752042;0.0458432;5.40535;0.0504128;4.53095;3.26697;1.4624;65.4635;6.83384;3.75336;1.47813;65.4635;9861.64;0.534905;0.58628;0.0981837;13.663;0.319584;130.997;764.646;2.66939;2.08112;242.572;0.00919382;0.237829;0.183375;0.427459;0.373119;5.96584;573.19;0.0434641;1.20821;0.256521;1173.84;5734.02;517.447;0.0433447;0.00076202;0.00528172;0.000776052;306.365;11.7008;47.5959;0.00393935;0.000956797;0.000643983;0.0347997;7.2112;47.595;0.00346802;0.000898794;0.000588686;0.0296552;7.2112;2.44113
0.469116;1.12492;0.862829;0.11476;1719.95;660.114;1407.14;0.47111;0.607789;5.88435;0.0568495;2.74642;1288.61;2735.25;0.1097;1.89609;3.69391;1.02625;0.0975229;0.014286;0.00909817;0.0496717;416.441;47.8064;4.14236;0.0558974;0.249724;645.503;15785;0.110923;2.06481;0.333588;0.00664284;474.579;4.93478;0.0394711;0.0568984;0.00933552;0.000100784;5.63879;11.5284;0.032981;0.057141;0.00941483;9.12E-05;5.63879;264.28;6.21303;4.89915;17.7161;0.0624995;0.0884958;0.121734;0.377665;0.0191441;1.45558;525.972;313.25;550.969;0.000847721;0.561729;0.282458;0.406408;3.16661;208.679;1.71164;371.388;1.14042;87.4882;0.621248;278265;782.844;0.120913;0.114146;0.100214;14.9089;131.863;0.0685048;563.661;0.138651;0.127519;0.0866808;14.6999;1793.01;977.141;16.4921;9.78617;0.808919;0.0595858;0.926057;0.0407423;1474.51;0.174635;0.152245;0.147581;199.064;0.535394;0.108306;0.12305;0.440366;2251.88;1187.14;3342.82;0.0151339;1.40582;0.00908194;0.403384;2240.04;1501.65;13579.1;0.685621;0.0474194;32.4924;0.0544225;24059.3;0.0262127;0.0449955;5.73394;0.0610598;6.34443;3.67245;1.35078;107.275;5.4178;4.67824;1.61306;107.275;12850;0.426099;0.592316;0.11918;14.2766;0.387543;112.308;914.561;2.73208;1.86754;213.454;0.0124965;0.227077;0.268722;0.480075;0.374385;6.72123;816.169;0.0486985;1.23727;0.271983;1277.01;5764.42;444.488;0.0336615;0.000767462;0.00686173;0.0190732;225.891;44.7255;49.7598;0.00365385;0.00117288;0.000500374;0.0328559;9.20785;41.4703;0.00385869;0.000919008;0.000640595;0.0294127;9.20785;1.97807
0.475695;0.438165;36.708;0.389507;417.372;765.952;1610.17;0.50709;0.235339;28.2808;0.0810228;2.4624;904.996;1784.69;0.082551;1.39823;4.23472;1.17613;0.112331;0.0129148;0.00850789;0.0746203;784.073;39.9373;4.23559;0.0498237;0.257756;597.65;20623.2;0.0847436;1.71921;0.365172;0.0112476;443.3;15.3421;0.0407239;0.055405;0.0093564;8.85E-05;8.70504;3.93037;0.0454334;0.0590077;0.0088695;9.92E-05;8.70504;321.256;4.0535;4.64836;34.0696;0.071029;0.0886873;0.122576;0.489162;0.0196341;2.99433;1000.96;413.388;413.235;0.000847143;0.560049;0.2717;0.453634;3.41136;208.736;1.67911;360.823;1.08657;106.621;0.793714;1.75E+07;704.716;0.102807;0.114562;0.110549;8.68048;189.847;0.0874939;671.789;0.119292;0.117391;0.0823457;12.3056;1979.99;1241.57;16.4406;9.13141;0.468107;0.0746525;0.983145;0.0399324;2048.7;0.161451;0.186951;0.140301;199.436;0.474671;0.159952;0.103316;0.514861;3329.97;1421.96;3465.42;0.0153832;1.47541;0.11698;0.282319;3160.34;1845.37;22680.4;0.460272;0.0459731;34.5302;0.0548405;15181.1;0.0385539;0.0498706;6.09356;0.0587512;6.4347;4.09333;1.2316;124.136;4.97681;3.74134;1.52137;124.136;10757.7;0.575634;0.61994;0.101898;18.3647;0.337479;24.4744;1152.62;2.63586;1.90083;230.484;0.00984709;0.28614;0.317762;0.474032;0.322973;14.9459;2473.89;0.0457202;1.1821;0.197557;1585.48;5795.52;513.622;0.0275169;0.00077098;0.00764341;0.000735312;166.345;1120.5;43.3882;0.00319514;0.00110859;0.000655992;0.0298448;13.1852;51.2363;0.00296476;0.00101848;0.000581057;0.0292187;13.1852;2.209
0.482001;0.0217304;7.16064;0.14513;1557.6;246.003;510.378;0.466964;0.0732719;1.74398;0.720637;0.0288698;3660.45;7838.83;0.0625692;1.32151;3.98027;0.691935;0.0933611;0.0141064;0.00854508;0.0928538;645.647;64.7389;5.67377;0.0498937;0.182371;615.003;18770.1;0.0931014;1.97946;0.404692;0.00848242;451.943;7.0562;0.0291073;0.0582098;0.00932505;9.84E-05;9.43462;5.20993;0.0431431;0.0577724;0.00935426;0.00010993;9.43462;270.113;3.81871;5.01048;34.9466;0.070622;0.0877492;0.106881;0.3938;0.0238143;4.23355;525.152;372.921;876.245;0.000804089;0.547971;0.295941;0.398315;3.22156;232.844;1.66884;378.454;1.27913;100.195;0.842599;38159.5;782.338;0.135747;0.0992192;0.103031;11.793;186.517;0.0943758;808.877;0.133212;0.125696;0.110878;10.6416;1789.8;920.254;15.4143;10.1142;0.700587;0.0582793;0.993924;0.0504981;2352.66;0.16037;0.126092;0.143172;230.46;0.493316;0.151536;0.135263;0.421136;1738.45;1143.29;3252.45;0.00121189;3.24234;0.0506158;0.288818;3180.19;1572.83;21746.1;0.0332361;0.062622;27.685;0.0528729;24169.1;0.0291614;0.0552942;4.88558;0.0582164;5.645;3.98649;1.51333;77.1446;4.93948;3.82521;1.55989;77.1446;8648.89;0.818594;0.60104;0.100813;16.1675;0.409676;24.1076;989.815;2.64712;1.90736;212.979;0.00955588;0.195559;0.230109;0.726705;0.30981;4.10155;1184.67;0.0453525;1.16723;0.228231;1304.98;5626.29;479.886;0.117164;0.000759601;0.00623371;0.000687619;210.552;97.2183;45.6674;0.0034921;0.00106372;0.000669812;0.0248092;12.1452;56.4319;0.00406048;0.00107703;0.000586652;0.0221385;12.1452;2.36008
0.47945;0.311745;5.34622;0.0886193;5.88623;91.8993;191.676;0.487726;0.110376;4.88142;0.152701;0.250627;81015.9;166109;0.0726214;2.06761;2.94189;0.590441;0.090523;0.0194319;0.00850896;0.0700423;558.26;50.3111;3.59111;0.0553016;0.256356;600.612;21220.7;0.12296;2.26219;0.379674;0.0089365;448.316;7.05227;0.0490763;0.0582161;0.00978253;0.000100683;8.47866;4.46557;0.0337557;0.0566915;0.00917885;0.000110412;8.47866;329.646;4.59208;6.67868;37.3264;0.0618763;0.0948726;0.165225;0.596484;0.0199199;0.49026;1433.33;448.686;22856.3;0.000847251;0.566306;0.284592;0.442236;2.74392;233.519;1.72724;380.196;1.02687;114.312;0.702099;2.33E+06;725.845;0.116841;0.117441;0.130784;16.1698;160.385;0.082125;825.496;0.0958261;0.112313;0.100585;11.0552;1792.55;971.783;17.0611;13.1203;0.117894;0.0643836;0.970536;0.0523704;1473.43;0.165313;0.144482;0.14194;275.07;0.626691;0.107843;0.110709;0.397538;3014.28;1353;3341.24;0.0911578;1.67479;0.990838;0.271238;2463.46;1505.41;22686.6;0.0211601;0.0438811;28.0514;0.0534513;19053.6;0.100617;0.052618;4.95025;0.0540928;5.62961;4.0775;1.34353;84.9645;6.74413;4.2848;1.44897;84.9645;9345.06;0.486419;0.453941;0.109244;15.8068;0.328978;61.097;1069.95;2.62184;2.12772;228.531;0.010399;0.262025;0.209316;0.543021;0.375286;18.0791;2009.55;0.0451635;1.15346;0.247715;1242.84;5909.85;386.484;0.0722408;0.000769636;0.00602932;0.00413383;229.533;7555.2;51.4477;0.00345084;0.000912091;0.000746744;0.0270006;8.80258;39.7901;0.00423233;0.00106939;0.000612458;0.0372928;8.80258;3.2684
0.481501;0.184501;12.6481;1.17648;56.0668;586.229;1217.5;0.476621;0.501918;8.43518;0.576512;18.9095;23160.3;48592.6;0.0741889;1.60314;3.82644;0.476898;0.144799;0.0161653;0.00820996;0.07128;748.717;38.6204;3.82778;0.0473542;0.233033;559.152;17367.4;0.105104;1.91597;0.335946;0.00877058;443.295;8.51474;0.0377853;0.0576007;0.00900245;0.00010309;7.63943;9.30654;0.0371441;0.0581559;0.00903531;0.000106793;7.63943;265.773;4.6695;4.52149;37.4434;0.0788346;0.100335;0.142279;0.484423;0.0201844;10.7273;834.992;314.366;272.998;0.000807972;0.567941;0.278504;0.442004;2.94294;173.019;1.67493;365.812;1.26536;140.953;0.818066;754214;858.494;0.116766;0.110181;0.0856906;11.5976;141.817;0.0740838;750.632;0.12991;0.10213;0.0876127;10.5906;1772.45;1104.05;16.3797;9.89887;0.189344;0.0686028;0.993382;0.0397982;2114.78;0.177103;0.153547;0.149541;195.562;0.476182;0.15417;0.106617;0.413708;2555.33;1396.92;3270.14;0.00143486;1.75152;0.0249658;0.332313;4045.23;1090.35;17674;0.0675062;0.0605041;24.5594;0.055452;25074;0.00875354;0.0425584;4.33401;0.0505347;5.10422;3.92577;1.34784;49.9454;7.77759;4.99643;1.42387;49.9454;10373.2;0.600193;0.53408;0.115477;13.7701;0.335782;55.8719;998.259;2.36498;1.91237;186.735;0.0130669;0.239656;0.216078;0.421683;0.421644;33.5834;2317.47;0.0480064;1.20128;0.292588;1147.89;5823.89;559.038;0.311005;0.000771529;0.00660103;0.00404932;258.105;4.04017;59.2437;0.00454295;0.00102336;0.00061431;0.0312284;10.8354;46.5449;0.00413883;0.000789428;0.000485836;0.0383676;10.8354;2.46914
0.475915;0.097864;3.49107;0.487849;180.646;194.866;409.455;0.450821;0.174536;1.03029;0.182004;377.367;5736.86;12725.4;0.069305;1.6763;3.10678;0.63144;0.153718;0.0196889;0.0109038;0.0693529;519.339;28.0961;4.82864;0.0589261;0.244729;604.223;18476.8;0.0979017;2.35497;0.449785;0.0102386;453.798;19.7444;0.0371159;0.0577404;0.00936719;0.000126764;10.6249;3.02623;0.0435099;0.0583114;0.00922314;0.000104099;10.6249;226.516;5.80295;7.34852;8.96078;0.0464879;0.0837133;0.119078;0.515683;0.0296062;3.9511;486.023;426.23;29812.4;0.000807032;0.559913;0.295554;0.462564;4.36514;192.138;1.71133;356.729;1.22441;106.65;0.673805;35295.8;683.601;0.116141;0.108533;0.0886049;16.2441;104.692;0.0540762;785.646;0.110454;0.100021;0.131617;18.4804;1831.32;950.535;17.172;8.86721;2.10568;0.0812288;1.15076;0.0366182;1489.03;0.175329;0.168276;0.153713;237.05;0.519474;0.143341;0.112244;0.377065;2487.26;1439.7;3426.74;0.0024079;1.0524;0.0454779;0.22403;4037.93;1674.5;16957.9;0.0128077;0.053456;24.831;0.0541455;23529.1;0.0335843;0.042677;4.38195;0.0578261;6.09361;4.32699;1.33598;76.1295;5.67068;3.60683;1.21983;76.1295;7822.05;0.543938;0.539952;0.0991903;13.5026;0.382387;62.9828;1680.07;2.81187;1.78426;215.949;0.00857446;0.271574;0.22782;0.567751;0.493465;76.5739;8619.46;0.0507672;1.14219;0.220396;1651.02;6275.27;397.338;0.0342271;0.000762866;0.00653468;0.000276232;254.083;30.7412;58.1668;0.00357387;0.000982299;0.000660756;0.0256117;9.41711;38.8913;0.00367848;0.00122672;0.000449371;0.0254478;9.41711;2.69776
0.497122;0.0731376;1.07446;0.207669;249.567;19.689;39.606;0.479291;0.152239;6.58214;0.379862;2.09295;23245.3;48499.4;0.0946085;1.92601;3.8153;0.704836;0.0894306;0.0152644;0.00893882;0.0761496;494.4;54.7876;4.4408;0.0524276;0.257009;674.494;16829.8;0.082977;2.12683;0.515511;0.0100851;466.448;14.6372;0.0342964;0.058576;0.00932715;0.00011138;6.38258;5.13218;0.0418233;0.0573973;0.00931531;9.64E-05;6.38258;235.046;3.93893;6.5193;15.7123;0.0909382;0.10392;0.128258;0.498883;0.0210688;2.9305;1422.6;540.699;167.182;0.000826477;0.556345;0.283427;0.444765;5.37769;185.83;1.79938;361.15;1.09502;125.882;0.692938;7424.96;756.35;0.124323;0.126042;0.0806491;13.0588;68.9881;0.0360568;795.88;0.173713;0.113065;0.102085;15.3378;1844.33;868.291;19.8749;14.7215;0.594344;0.0636544;1.03727;0.039519;1515.32;0.167963;0.187705;0.148965;205.837;0.427527;0.116809;0.131272;0.382993;1544.75;1250.95;3449.34;0.00146031;1.65821;0.0818275;0.23144;2746.17;1746.04;15562.8;0.274537;0.0483886;33.3949;0.0547489;23040.3;0.0130485;0.05299;5.89322;0.0546841;5.35857;4.15224;1.30426;62.0697;4.53745;3.43801;1.47606;62.0697;12164.9;0.827617;0.440164;0.119191;15.0268;0.363303;20.186;915.327;2.53106;1.8298;257.082;0.0121451;0.316354;0.279532;0.338888;0.328306;14.6636;1101.22;0.0445618;1.20447;0.265231;1137.2;5619.59;485.16;0.0360044;0.000779512;0.00667186;0.000692433;254.683;226.411;48.1542;0.00361896;0.000957227;0.00061813;0.0298167;13.5274;68.1096;0.00361733;0.000985601;0.000571656;0.030422;13.5274;3.25741
0.510075;0.653221;3.84662;0.149955;216.958;13.0884;25.6597;0.476704;0.137731;0.913426;0.313024;183.772;249.53;523.448;0.053866;1.63178;3.32025;0.851924;0.103792;0.0134018;0.0103105;0.0620685;446.189;17.0341;3.32842;0.0601954;0.247922;518.92;18060;0.121098;2.37376;0.393292;0.0098358;476.388;16.319;0.0409351;0.0579667;0.00917537;0.000105451;10.4829;3.56684;0.0394483;0.0584406;0.00964834;0.000103509;10.4829;315.36;7.1206;4.05821;37.8797;0.0838431;0.139926;0.148007;0.348865;0.0216023;2.6066;753.993;531.77;67.9843;0.000872467;0.549868;0.251967;0.500656;3.88972;228.128;1.68315;366.32;1.2069;102.244;0.70907;1.44E+06;804.759;0.121345;0.127907;0.110123;11.2854;118.269;0.0600467;634.133;0.11492;0.109412;0.104258;12.4173;1851.35;1249.58;12.9524;9.13023;0.0963673;0.0565804;1.05842;0.0288143;1998.25;0.169922;0.167436;0.146745;239.777;0.55834;0.130991;0.12393;0.399872;2466.93;1383.18;3343.8;0.00412955;1.73698;0.0341966;0.344009;3031.05;1587.66;20251.5;0.419494;0.0524381;29.4744;0.063782;25295.8;0.0447208;0.0430169;5.20136;0.0535431;4.72709;4.39894;1.53753;59.2812;5.30781;4.38678;1.59974;59.2812;10792;0.714517;0.5861;0.124123;14.5598;0.37652;34.6743;1107.22;2.53034;1.89776;225.225;0.0123353;0.251026;0.241984;0.388795;0.375475;6.99101;565.715;0.0453219;1.212;0.23183;1364.12;5757.19;337.489;0.0585019;0.000775169;0.00623539;0.000700727;240.869;62.2564;57.9433;0.00289224;0.000971274;0.000568648;0.0297411;10.5969;61.9601;0.00403395;0.00102551;0.000746901;0.0290052;10.5969;2.71192
0.46998;1.17793;1.09618;0.0745987;19.1789;14.9104;31.7256;0.490413;0.449076;2.65864;0.094686;829.269;519.812;1059.95;0.0822648;1.613;2.94875;0.723762;0.0873059;0.0162492;0.00945323;0.0686454;488.007;33.5072;3.48741;0.0656122;0.257136;558.767;17678.9;0.0974697;1.84566;0.436821;0.00882332;455.435;2.97753;0.0452981;0.0578564;0.00923069;0.00012946;8.7128;5.6782;0.0446259;0.0603618;0.00921147;0.000104987;8.7128;220.288;6.47954;6.4671;9.101;0.0737295;0.110639;0.117739;0.515967;0.0210624;0.759406;778.027;408.877;95.0897;0.000833823;0.563149;0.221842;0.447037;3.06289;229.601;1.72032;365.753;1.0082;119.601;0.837926;1.77E+08;885.18;0.14316;0.131635;0.103701;10.0084;140.677;0.075394;678.051;0.192096;0.124157;0.112704;10.0811;1725.21;1107.54;17.3572;9.53708;0.427787;0.0738494;1.04545;0.0409198;1458.88;0.196284;0.116854;0.164733;191.3;0.426647;0.165198;0.118299;0.358024;1762.2;1378.54;3267.89;0.00343768;3.16928;0.196142;0.316024;2757.92;1415.34;17252;0.287572;0.0609369;24.2273;0.0501977;20769.1;0.0238474;0.0392816;4.2754;0.0528925;5.5337;5.02374;1.34898;83.005;5.10241;3.98032;1.46709;83.005;9758.72;0.516723;0.531032;0.136316;14.6839;0.320441;85.3516;1073.46;2.48468;2.07922;230.659;0.0141109;0.254812;0.238318;0.472747;0.362157;9.07086;784.803;0.0430438;1.1598;0.209673;1269.88;5333.49;461.984;0.165723;0.000770069;0.007386;0.00197953;191.006;272.002;45.0936;0.00278578;0.000860358;0.000578492;0.0276833;10.8131;45.0492;0.00295997;0.00110577;0.000628333;0.0254053;10.8131;2.62269
