Entity,Qualifier,Preferred Ontologies,Value,Comment
model,hasTaxon,Taxonomy,http://identifiers.org/taxonomy/9606,Homo Sapiens
model,occursIn,Experimental Factor Ontology (EFO),http://purl.obolibrary.org/obo/MONDO_0007254,breast cancer
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000150,breast cancer cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000356,breast cancer cell line
model,occursIn,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C94498,Tumor Microenvironment
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C36345,Protein Deregulation
model,hasProperty,EDAM,http://edamontology.org/topic_3308,Transcriptomics
model,hasProperty,EDAM,http://edamontology.org/topic_0622,Genomics
model,hasProperty,Ontology for MIRNA Target (OMIT),http://purl.obolibrary.org/obo/OMIT_0017068,RNA-Binding Proteins
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15262,Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C131060,Checkpoint Blockade Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C143250,Immune Checkpoint Inhibitor
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15438,Cancer Immunotherapy
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002587,machine learning
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002588,supervised machine learning
model,hasProperty,Ontology for MIRNA Target (OMIT),http://purl.obolibrary.org/obo/OMIT_0016176,Biomarkers
model,hasProperty,Ontology for MIRNA Target (OMIT),http://purl.obolibrary.org/obo/OMIT_0026946,Precision Medicine
model,hasProperty,Ontology for MIRNA Target (OMIT),http://purl.obolibrary.org/obo/OMIT_0015987,Drug Design
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C49142,Copy Number
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15632,Chemotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C19771,Molecular Profiling
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C17429,Neural Network
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C16629,Genome
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C19020,Receiver Operator Characteristics
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C49145,Accuracy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C64774,Area Under Curve
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000549,random forest procedure
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000416,precision
model,hasProperty,Software Ontology (SWO),http://www.ontodm.com/OntoDM-core/OntoDM_000160,predictive modeling algorithm
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C53237,Regression Method
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C78542,Support Vector Machine
model,isDescribedBy,PMID,https://pubmed.ncbi.nlm.nih.gov/32444848/,PubMed URL
model,isDescribedBy,GitHub repository,https://github.com/muntisa/neural-networks-for-breast-cancer-proteins,MLP-BC GitHub repository 
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004600,genomic data
model,hasInput,ERO: eagle-i resource ontology ,http://purl.obolibrary.org/obo/ERO_0100354,molecular data
model,hasInput,Ontology for Nutritional Studies (ONS),http://purl.obolibrary.org/obo/ONS_0000091,omics data
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0030083,clinical data
model,hasDataset,GitHub repository,https://github.com/muntisa/neural-networks-for-breast-cancer-proteins/tree/master/datasets,Link to dataset
model,hasOutput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0600023,Predictions of Breast Cancer related proteins
