Entity,Qualifier,Preferred Ontologies,Value,Comment
model,hasTaxon,Taxonomy,http://identifiers.org/taxonomy/9606,Homo Sapiens
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0000848,Melanoma Cell
model,occursIn,BTO (BRENDA Tissue Ontology),http://purl.obolibrary.org/obo/BTO_0001286,Skin Cancer Cell
model,hasProperty,OGG: Ontology of Genes and Genomes,http://purl.obolibrary.org/obo/OGG_3000001493,CTLA4 (cytotoxic T-lymphocyte-associated protein 4)
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0010793,programmed death-ligand 1 measurement (PDL1)
model,hasProperty,CLO: Cell Line Ontology,http://purl.obolibrary.org/obo/CLO_0008407,PDL-1 Cell
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C156893,PD-1 Ligand Inhibitor
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C128037,Anti-PD1 Monoclonal Antibody
model,hasProperty,Gene Ontology (GO),http://purl.obolibrary.org/obo/GO_0008150,biological process
model,hasProperty,Gene Ontology (GO),http://purl.obolibrary.org/obo/GO_0070663,regulation of leukocyte proliferation
model,hasProperty,Gene Ontology (GO),http://purl.obolibrary.org/obo/GO_0042129,regulation of T cell proliferation
model,hasProperty,Gene Ontology (GO),http://purl.obolibrary.org/obo/GO_0009755,hormone-mediated signaling pathway
model,hasProperty,Gene Ontology (GO),http://purl.obolibrary.org/obo/GO_0051117,ATPase binding
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15262,Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C131060,Checkpoint Blockade Immunotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C143250,Immune Checkpoint Inhibitor
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15438,Cancer Immunotherapy
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002587,machine learning
model,hasProperty,OBI: Ontology for Biomedical Investigations ,http://purl.obolibrary.org/obo/OBI_0002588,supervised machine learning
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C16342,Biomarker
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C150128,Tumor Mutation Burden (TMB)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C36318,Microsatellite Instability (MSI)
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C15632,Chemotherapy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C16629,Genome
model,hasProperty,OBCS: Ontology of Biological and Clinical Statistics,http://purl.obolibrary.org/obo/OBCS_0000058,sensitivity
model,hasProperty,OBCS: Ontology of Biological and Clinical Statistics,http://purl.obolibrary.org/obo/OBCS_0000059,specificity
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C125201,Overall Survival
model,hasProperty,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004920,progression free survival
model,hasProperty,DICOM Controlled Terminology,http://dicom.nema.org/resources/ontology/DCM/112022,Response Evaluation Criteria In Solid Tumors (RECIST)
model,hasProperty,EDAM Ontology,http://edamontology.org/format_3996,Python script
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C19020,Receiver Operator Characteristics
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C64774,Area Under Curve
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C53326,Box Plot
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000549,random forest procedure
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000416,precision
model,hasProperty,STATO: the statistical methods ontology ,http://purl.obolibrary.org/obo/STATO_0000415,accuracy
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C68814,Nivolumab
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C106432,Pembrolizumab
model,hasProperty,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C2654,Ipilimumab
model,isDescribedBy,PubMed,https://pubmed.ncbi.nlm.nih.gov/36123351/,PubMed URL
model,isDescribedBy,GitHub repository,https://github.com/AuslanderLab/Mutated_pathway_ICI_prediction,Mutated_pathway_ICI_prediction
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0004600,genomic data
model,hasInput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0030083,clinical data
model,hasInput,NCI Thesaurus OBO Edition ,http://purl.obolibrary.org/obo/NCIT_C18093,Gene Mutation
model,hasInput,GENO Ontology ,http://purl.obolibrary.org/obo/GENO_0000492,mutation
model,hasDataset,GitHub repository,https://github.com/AuslanderLab/Mutated_pathway_ICI_prediction/tree/main/00_Data,Link to dataset
model,hasOutput,Experimental Factor Ontology (EFO),http://www.ebi.ac.uk/efo/EFO_0600023,Prediction of Immune Checkpoint Inhibitor (ICI) response for a patient.
